,DT,RF,NB,KNN,svm_linear,svm_rbf,svm_poly,LogisticRegression
model_index,10,155,1,73,2,20,74,32
MCC,0.5884179460813774,0.6766341112211528,0.5059217950426669,0.6427934173948706,0.5713055565246086,0.6616060488331995,0.5777983596045204,0.5929224148440837
ACC,0.7956834532374102,0.8376978417266185,0.753956834532374,0.8141007194244604,0.7876258992805755,0.8325179856115108,0.7953956834532374,0.7962589928057554
F1score,0.818137548758974,0.8533183342668509,0.7793113077552714,0.8244797765890618,0.8129827007736157,0.8518882196092735,0.8306012261337262,0.8155367133463269
F2score,0.8039009509600491,0.8321746667430412,0.761926673119464,0.7817607146942097,0.8022723969646793,0.8399190550488523,0.8523382312774208,0.7928997997570199
FNR,0.20493,0.18109,0.24874,0.24425,0.20399,0.16764,0.13233,0.22141
FPR,0.2033547632963179,0.13651665692577442,0.24237288135593218,0.10576271186440678,0.22386908240794853,0.1671537112799532,0.30371712448860316,0.17946230274693165
FNR_Leak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FNR_Clog,0.22591,0.19589,0.30548,0.27527,0.25566,0.19746,0.16876,0.27957
balanced_ACC,0.79586,0.8412,0.75444,0.825,0.78607,0.8326,0.78197,0.79957
