,DT,RF,NB,KNN,svm_linear,svm_rbf,svm_poly
model_index,17,19,1,77,1,12,15
MCC,0.4143708632155781,0.4753754039747886,0.2926485001848589,0.3774722507829514,0.0,0.3167327239928776,0.35272503774047237
ACC,0.7103296703296703,0.7279120879120881,0.6582417582417582,0.7015384615384616,0.6032967032967033,0.6685714285714286,0.6248351648351648
F1score,0.7520810940005986,0.7527400061239071,0.7212889576883385,0.7665358985699542,0.7521927348014306,0.7210941078185661,0.5914991674991675
F2score,0.7468299873849689,0.7248185531863045,0.7394270042271226,0.8049933453785928,0.8833816425120773,0.7274894525578233,0.5079755255976656
FNR,0.25333,0.28833,0.24556,0.165,0.0,0.26667,0.53444
FPR,0.3453333333333334,0.244,0.4853333333333334,0.5013333333333333,1.0,0.42666666666666664,0.128
FNR_Leak,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FNR_Clog,0.25333,0.28833,0.24556,0.165,0.0,0.26667,0.53444
balanced_ACC,0.70067,0.73383,0.63456,0.66683,0.5,0.65333,0.66878
