,DT,RF,NB,KNN,svm_linear,svm_rbf,svm_poly,LogisticRegression,XGBoost
model_index,20,95,1,77,2,14,74,51,18
MCC,0.505901212,0.587819327,0.418591675,0.594435541,0.53477024,0.573337999,0.462157168,0.532889547,0.564116819
ACC,0.755385494,0.780068532,0.710812869,0.796866552,0.765962307,0.792164477,0.737018846,0.764774415,0.784347992
F1score,0.781542786,0.783845107,0.740226289,0.815385999,0.78699444,0.823862676,0.799277334,0.783386007,0.808182624
F2score,0.769721343,0.728388048,0.724880996,0.794617782,0.766989587,0.836174564,0.86183977,0.756362161,0.798062553
FNR,0.23757,0.30417,0.28431,0.2184,0.24482,0.15508,0.09052,0.26055,0.20818235
FPR,0.254651163,0.105877378,0.295539112,0.18243129,0.219090909,0.279196617,0.496807611,0.200909091,0.22602537
FNR_Leak,0.178,0.23047,0.18601,0.14445,0.13676,0.11399,0.04488,0.14799,0.150058212
FNR_Clog,0.26805,0.3401,0.33229,0.25376,0.29756,0.17507,0.11273,0.31536,0.237269074
balanced_ACC,0.75389,0.79497,0.71007,0.79959,0.76805,0.78286,0.70634,0.76927,0.78289614
